PDF1,PDF2,PDF1_PageNum,PDF1_Position,PDF2_PageNum,PDF2_Position
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,21,Top Center,21,Top Center
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,27,Middle Right,27,Middle Right
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,11,Bottom Right,11,Bottom Right
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,16,Middle Center,16,Middle Center
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,15,Top Right,15,Top Right
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,19,Top Right,19,Top Right
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,24,Middle Center,24,Middle Center
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,17,Top Right,17,Top Right
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,11,Middle Right,11,Middle Right
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,9,Bottom Right,9,Bottom Right
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,10,Top Right,10,Top Right
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,18,Top Center,18,Top Center
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,24,Top Center,24,Top Center
docNAC01FB74535356434423e0710933c37c87ef29b807bfe7da71dd9f7253130b0903ad3bc99acf.json,Proposal_F244-0007-0317.json,23,Middle Center,23,Middle Center
